%time NodeGeneRch GeneSinus Rch
0 0 0 0
0.001 0.587785252292 -0.0587785252292 0.0587785252292
0.002 0.951056516295 -0.0951056516295 0.0951056516295
0.003 0.951056516295 -0.0951056516295 0.0951056516295
0.004 0.587785252292 -0.0587785252292 0.0587785252292
0.005 1.22460635382e-16 -1.22460635382e-17 1.22460635382e-17
0.006 -0.587785252292 0.0587785252292 -0.0587785252292
0.007 -0.951056516295 0.0951056516295 -0.0951056516295
0.008 -0.951056516295 0.0951056516295 -0.0951056516295
0.009 -0.587785252292 0.0587785252292 -0.0587785252292
0.01 -2.44921270764e-16 2.44921270764e-17 -2.44921270764e-17
0.011 0.587785252292 -0.0587785252292 0.0587785252292
0.012 0.951056516295 -0.0951056516295 0.0951056516295
0.013 0.951056516295 -0.0951056516295 0.0951056516295
0.014 0.587785252292 -0.0587785252292 0.0587785252292
0.015 3.67381906147e-16 -3.67381906147e-17 3.67381906147e-17
0.016 -0.587785252292 0.0587785252292 -0.0587785252292
0.017 -0.951056516295 0.0951056516295 -0.0951056516295
0.018 -0.951056516295 0.0951056516295 -0.0951056516295
0.019 -0.587785252292 0.0587785252292 -0.0587785252292
0.02 -4.89842541529e-16 4.89842541529e-17 -4.89842541529e-17
0.021 0.587785252292 -0.0587785252292 0.0587785252292
0.022 0.951056516295 -0.0951056516295 0.0951056516295
0.023 0.951056516295 -0.0951056516295 0.0951056516295
0.024 0.587785252292 -0.0587785252292 0.0587785252292
0.025 6.12303176911e-16 -6.12303176911e-17 6.12303176911e-17
0.026 -0.587785252292 0.0587785252292 -0.0587785252292
0.027 -0.951056516295 0.0951056516295 -0.0951056516295
0.028 -0.951056516295 0.0951056516295 -0.0951056516295
0.029 -0.587785252292 0.0587785252292 -0.0587785252292
0.03 -7.34763812293e-16 7.34763812293e-17 -7.34763812293e-17
0.031 0.587785252292 -0.0587785252292 0.0587785252292
0.032 0.951056516295 -0.0951056516295 0.0951056516295
0.033 0.951056516295 -0.0951056516295 0.0951056516295
0.034 0.587785252292 -0.0587785252292 0.0587785252292
0.035 -2.69548923112e-15 2.69548923112e-16 -2.69548923112e-16
0.036 -0.587785252292 0.0587785252292 -0.0587785252292
0.037 -0.951056516295 0.0951056516295 -0.0951056516295
0.038 -0.951056516295 0.0951056516295 -0.0951056516295
0.039 -0.587785252292 0.0587785252292 -0.0587785252292
0.04 -9.79685083058e-16 9.79685083058e-17 -9.79685083058e-17
0.041 0.587785252292 -0.0587785252292 0.0587785252292
0.042 0.951056516295 -0.0951056516295 0.0951056516295
0.043 0.951056516295 -0.0951056516295 0.0951056516295
0.044 0.587785252292 -0.0587785252292 0.0587785252292
0.045 -2.45056796036e-15 2.45056796036e-16 -2.45056796036e-16
0.046 -0.587785252292 0.0587785252292 -0.0587785252292
0.047 -0.951056516295 0.0951056516295 -0.0951056516295
0.048 -0.951056516295 0.0951056516295 -0.0951056516295
0.049 -0.587785252292 0.0587785252292 -0.0587785252292
0.05 -2.44921270764e-15 2.44921270764e-16 -2.44921270764e-16
0.051 1.17557050458 -0.117557050458 0.117557050458
0.052 1.90211303259 -0.190211303259 0.190211303259
0.053 1.90211303259 -0.190211303259 0.190211303259
0.054 1.17557050458 -0.117557050458 0.117557050458
0.055 -4.41129337919e-15 4.41129337919e-16 -4.41129337919e-16
0.056 -1.17557050458 0.117557050458 -0.117557050458
